cws_ID,cws_name,type,dist_system_class,max_treatment_class,principal_county_served,primary_water_source_type,project_water,lat,long,within_legalDelta
CA3410030,"FOLSOM, CITY OF - ASHLAND",C,D2,There are no treatment plants,SACRAMENTO,SWP,CVP,38.69935035,-121.1735847,
CA3410031,CAL AM - ANTELOPE,C,D3,T2,SACRAMENTO,SWP,CVP,38.71628387,-121.3829763,
CA3410032,FOLSOM STATE PRISON,C,D2,T3,SACRAMENTO,SW,CVP,38.69457303,-121.1565949,
CA3410033,FLORIN COUNTY WATER DISTRICT,C,D2,T1,SACRAMENTO,GW,Neither,,,
CA3410035,LIGHTHOUSE MARINA RESTAURANT & RESORT,NC,NR,T2,SACRAMENTO,GW,Neither,,,
CA3410045,CAL AM - ARDEN,C,D2,T1,SACRAMENTO,SWP,SWP,38.6532508,-121.4254809,
CA3410047,CAL AM - WALNUT GROVE,C,D1,T2,SACRAMENTO,GW,Neither,,,
CA3410301,FOLSOM LAKE SRA - MISSISSIPPI BAR,NC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3410302,BRANNAN ISLAND STATE REC. AREA,NC,D1,T1,SACRAMENTO,GW,Neither,,,
CA3410303,PRAIRIE CITY SVRA,NC,D1,T1,SACRAMENTO,GW,Neither,,,
CA3410704,SCWA MATHER-SUNRISE,C,D3,T2,SACRAMENTO,SWP,SWP,38.5516096,-121.3364783,
CA3410802,RICHARD A. MCGEE TRAINING CENTER,NTNC,D1,T2,SACRAMENTO,GW,Neither,,,
CA3490001,SACRAMENTO REGIONAL COUNTY SAN. DISTRICT,NP,,There are no treatment plants,SACRAMENTO,,,,,
CA3490002,RANCHO MURIETA COMMUNITY SERVICE DISTRIC,NP,,There are no treatment plants,SACRAMENTO,,,,,
CA3490003,SACRAMENTO CO. AIRPORT - RECYC WATER,NP,,There are no treatment plants,SACRAMENTO,,,,,
CA3490004,CITY OF GALT WW TREATMENT PLANT,NP,,There are no treatment plants,SACRAMENTO,,,,,
,,,,,,,,,,
CA5700504,AMERICAS BEST VALUE INN,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700506,ROAD TRIP BAR & GRILL,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700508,OLD SUGAR MILL WINERY,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5700509,CLARKSBURG MIDDLE SCHOOL,NTNC,D1,TD,YOLO,GW,Neither,,,
CA5700510,DELTA HIGH SCHOOL,NTNC,D1,There are no treatment plants,YOLO,GW,Neither,,,
CA5700514,BOGLE FAMILY LIMITED PARTNER,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5700516,HERINGER ESTATES WINERY,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700518,CASA RUIZ,NC,NR,T1,YOLO,GW,Neither,,,
CA5700521,HOLLAND MARKET,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700522,MINER'S LEAP WINERY,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700523,BOGLE VINEYARDS TASTING ROOM,NTNC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700528,ST JOSEPH'S CHURCH,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700532,YOLO BYPASS WILDLIFE AREA,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700537,HARRIS MORAN SEED COMPANY - WATER,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5700539,DAVIS MIGRANT CENTER (CIUDAD DEL SOL),NTNC,D1,TD,YOLO,GW,Neither,,,
CA5700542,TEICHERT CONSTRUCTION,NTNC,D1,TD,YOLO,GW,Neither,,,
CA5700543,YOLO FRUIT STAND - WATER,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700552,PILOT TRAVEL CENTER #168 - WATER,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5700554,CAMPERS INN - RV & GOLF COURSE,C,D1,TD,YOLO,GW,Neither,,,
CA5700555,BONFIRE VILLAGE HOTEL,C,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700556,CALTRANS-DUNIGAN RS,NC,D1,T1,YOLO,GW,Neither,,,
CA5700558,EXCEL GAS AND MARKET,NC,NR,T1,YOLO,GW,Neither,,,
CA5700562,JACK IN THE BOX #3465,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700568,RRG GARDEN FARMING OPERATIONS,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700571,MADISON SERVICE DIST,C,D1,TD,YOLO,GW,Neither,,,
CA5700584,SACWEST RV PARK AND CAMPGROUND,NC,NR,TD,YOLO,GW,Neither,,,
CA5700588,SACRAMENTO YACHT CLUB,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700597,HUSICKS,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700598,SILT WINE COMPANY,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700608,CANYON CREEK RESORT,NC,D1,T3,YOLO,SW,Neither,38.5154919,-122.0938957,
CA5700615,YOLO CO HOUSING AUTHORITY-EL RIO VILLA,C,D1,TD,YOLO,GW,Neither,,,
CA5700616,INN AT PARK WINTERS,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700617,MARIANI NUT COMPANY - BUCKEYE RD,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5700618,BERRYESSA BREWING COMPANY,NC,NR,T1,YOLO,GW,Neither,,,
CA5700623,DAVIS JUSD - FAIRFIELD SCHOOL,NTNC,D1,There are no treatment plants,YOLO,GW,Neither,,,
CA5700636,PACIFIC COAST PRODUCERS,NC,D1,TD,YOLO,GW,Neither,,,
CA5700643,PLAINFIELD ELEM SCHOOL - WATER,NTNC,D1,TD,YOLO,GW,Neither,,,
CA5700652,YOLO FLIERS CLUB,NTNC,D1,TD,YOLO,GW,Neither,,,
CA5700653,YOLO SPORTSMEN'S ASSOC,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700700,CACHEVILLE SERVICE DIST,C,D1,TD,YOLO,GW,Neither,,,
CA5700701,FIRST BAPTIST CHURCH,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700707,ROLLING ACRES MUTUAL WATER COMPANY,C,D1,There are no treatment plants,YOLO,GW,Neither,,,
CA5700712,CAL AM - DUNNIGAN,C,D1,T1,YOLO,GW,Neither,,,
CA5700713,CACHE CREEK CANYON-MIDDLE SITE,NC,D1,TD,YOLO,GW,Neither,,,
CA5700714,YOLO CO AIRPORT,NTNC,D1,TD,YOLO,GW,Neither,,,
CA5700728,RUSTIC BAR-B-Q,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700729,CEJA-REYES INC,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700730,CREW WINE COMPANY,NTNC,D1,There are no treatment plants,YOLO,GW,Neither,,,
CA5700734,DOLLAR GENERAL STORE #16171,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700737,CAPAY OPEN SPACE PARK,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700741,UNITED TRAVEL PLAZA,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700744,TABER RANCH EVENT CENTER & VINEYARD,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700748,FULL BELLY FARM,NTNC,D1,There are no treatment plants,YOLO,GW,Neither,,,
CA5700751,DUNNIGAN CHEVRON,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700754,THE MAPLES,NTNC,D1,Operator is not required,YOLO,GW,Neither,,,
CA5700757,GRASSLAND PARK HOST WELL (OLD YOLO BOWME,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700758,SAKATA SEED WOODLAND STATION,NTNC,D1,TD,YOLO,GW,Neither,,,
CA5700761,CLARK PACIFIC - CR 18C,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5700763,ELKHORN REGIONAL PARK,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700764,SYNGENTA SEEDS LLC,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5700768,WILBUR-ELLIS COMPANY LLC,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5700773,UNITARIAN CHURCH OF DAVIS,NTNC,D1,There are no treatment plants,YOLO,GW,Neither,,,
CA5700774,SHERWOOD HARBOR MARINA,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700778,YOLO CO CENTRAL LANDFILL,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5700784,GRACE VALLEY CHRISTIAN CENTER,NTNC,D1,There are no treatment plants,YOLO,GW,Neither,,,
CA5700785,BAYER RESEARCH AND DEVELOPMENT LLC,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5700788,NORTH DAVIS MEADOWS,C,D1,TD,YOLO,GW,Neither,,,
CA5700791,STAN'S YOLO MARINA,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700795,HAY KINGDOM,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5700797,MONROE/LEINBERGER CNTR - WATERS,C,D1,TD,YOLO,GW,Neither,,,
CA5700798,PAVESTONE,NTNC,D1,There are no treatment plants,YOLO,GW,Neither,,,
CA5700802,NELSON'S GROVE,NC,NR,T1,YOLO,GW,Neither,,,
CA5700804,CLARKSBURG COMM CHURCH,NTNC,D1,There are no treatment plants,YOLO,GW,Neither,,,
CA5700815,ZAMORA SHELL & MINI MART,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700816,WEST VALLEY BAPTIST CHURCH,NTNC,D1,There are no treatment plants,YOLO,GW,Neither,,,
CA5700817,JEHOVAH'S WITNESSES - KINGDOM HALL,NC,NR,T1,YOLO,GW,Neither,,,
CA5700820,JEHOVAH'S WITNESSES - SOUTHPORT,NC,NR,There are no treatment plants,YOLO,GW,Neither,,,
CA5700821,JEHOVAH'S WITNESSES - DAVIS,NC,NR,T1,YOLO,GW,Neither,,,
CA5700827,PIONEER HI-BRED INTERNATIONAL,NTNC,D1,T1,YOLO,GW,Neither,,,
CA5710001,CITY OF DAVIS,C,D4,T2,YOLO,SWP,CVP,38.55414414,-121.7332599,
CA5710003,CITY OF WEST SACRAMENTO,C,D4,T5,YOLO,SW,CVP,38.55558581,-121.5494918,
CA5710004,KNIGHTS LANDING SVC. DIST.,C,D2,TD,YOLO,GW,Neither,,,
CA5710005,CITY OF WINTERS,C,D2,TD,YOLO,GW,Neither,,,
CA5710006,CITY OF WOODLAND,C,D4,T1,YOLO,SWP,CVP,38.67102542,-121.7479673,
CA5710007,ESPARTO C.S.D.,C,D2,T1,YOLO,GW,Neither,,,
CA5710009,UC - DAVIS,C,D3,TD,YOLO,SWP,CVP,38.53405186,-121.7764055,
CA5710011,WILD WINGS GOLF COMMUNITY,C,D2,T1,YOLO,GW,Neither,,,
CA5710012,WOODLAND-DAVIS CLEAN WATER AGENCY,C,NR,T5,YOLO,SW,CVP,38.66760354,-121.7186191,
CA5710013,IHS NOR CAL YOUTH TRMNT CTR(SACRED OAKS),NTNC,D1,T1,YOLO,GW,Neither,,,
CA5790001,UC - DAVIS,NP,D1,There are no treatment plants,YOLO,,,,,
CA5790002,WILD WINGS WASTEWATER RECYCLING FACILITY,NP,D1,There are no treatment plants,YOLO,,,,,
CA5790003,CACHE CREEK RESORT,NP,D1,There are no treatment plants,YOLO,,,,,
CA5790004,"DAVIS WWTP, CITY OF - RECYCLED",NP,,There are no treatment plants,YOLO,SW,Neither,,,
CA5790006,CITY OF WOODLAND WASTEWATER TREATMENT,NP,,There are no treatment plants,YOLO,,,,,
,,,,,,,,,,
CA4800531,VACA VILLA APARTMENTS,C,D1,TD,SOLANO,GW,Neither,,,
CA4800561,SNUG HARBOR RV LP,C,D1,T1,SOLANO,GW,Neither,,,
CA4800564,HIDDEN ACRES TRAILER VILLA,C,D1,TD,SOLANO,GW,Neither,,,
CA4800589,CRESTA MESA PARQUE,C,D1,There are no treatment plants,SOLANO,GW,Neither,,,
CA4800595,"MARIANI PACKING COMPANY, INC.",NTNC,D1,TD,SOLANO,GW,Neither,,,
CA4800596,ROCKWELL COLLINS INC. (FKA UPCO-UTAS),NTNC,D1,TD,SOLANO,GW,Neither,,,
CA4800612,HASTINGS ISLAND HUNTING PRESERVE,NC,NR,There are no treatment plants,SOLANO,GW,Neither,,,
CA4800615,SUPERIOR PACKING CO,NTNC,D1,There are no treatment plants,SOLANO,GW,Neither,,,
CA4800651,LAKE SOLANO PARK,NC,NR,TD,SOLANO,GW,Neither,,,
CA4800695,MOOSE LODGE 1967,NC,NR,T2,SOLANO,SW,Neither,38.3768855,-121.9973002,
CA4800727,CAMPBELL SOUP DIXON,NTNC,D1,There are no treatment plants,SOLANO,GW,Neither,,,
CA4800732,DIXON 76,NC,NR,T2,SOLANO,GW,Neither,,,
CA4800753,VINEYARD RV PARK,C,D1,T1,SOLANO,GW,Neither,,,
CA4800755,MIDWAY RV PARK,NC,NR,There are no treatment plants,SOLANO,GW,Neither,,,
CA4800767,STOCKING RANCH DEEPWELL,NTNC,D1,TD,SOLANO,GW,Neither,,,
CA4800773,PUNJABI DHABA,NC,NR,TD,SOLANO,GW,Neither,,,
CA4800781,HUNTER HILL SAFETY ROADSIDE REST AREA,NC,NR,TD,SOLANO,GW,Neither,,,
CA4800784,WOODEN VALLEY WINERY,NC,D1,There are no treatment plants,SOLANO,GW,Neither,,,
CA4800786,MIDWAY FOODS,NC,NR,There are no treatment plants,SOLANO,GW,Neither,,,
CA4800797,BIRDS LANDING HUNTING PRESERVE,NC,NR,There are no treatment plants,SOLANO,GW,Neither,,,
CA4800801,NEIL'S SERVICE CENTER,NTNC,D1,T1,SOLANO,GW,Neither,,,
CA4800804,DIXON MIGRANT CENTER,NTNC,D1,TD,SOLANO,GW,Neither,,,
CA4800807,SELF-SERVE PETROLEUM,NC,NR,TD,SOLANO,GW,Neither,,,
CA4800809,VALLEY EVANGELICAL FREE CHURCH,NC,NR,T2,SOLANO,GW,Neither,,,
CA4800812,WEST WIND WINERY,NC,NR,There are no treatment plants,SOLANO,GW,Neither,,,
CA4800818,PEDRICK PRODUCE,NC,NR,T2,SOLANO,GW,Neither,,,
CA4800820,EB STONE,NTNC,NR,There are no treatment plants,SOLANO,GW,Neither,,,
CA4800826,VACA-DIXON SUBSTATION,NTNC,D1,TD,SOLANO,GW,Neither,,,
CA4810001,CITY OF BENICIA,C,D3,T4,SOLANO,SW,SWP,38.07240308,-122.152537,
CA4810002,CALIFORNIA WATER SERVICE CO. - DIXON,C,D2,T2,SOLANO,GW,Neither,,,
CA4810003,CITY OF FAIRFIELD,C,D4,T5,SOLANO,SW,SWP,38.25691747,-122.0543405,
CA4810004,CITY OF RIO VISTA,C,D3,T2,SOLANO,GW,Neither,,,
CA4810005,SUISUN-SOLANO WATER AUTHORITY,C,D4,T4,SOLANO,SW,Neither,,,
CA4810007,CITY OF VALLEJO,C,D5,T5,SOLANO,SW,SWP,38.11411518,-122.2350559,
CA4810008,CITY OF VACAVILLE,C,D5,T4,SOLANO,SW,SWP,38.35970578,-121.9679379,
CA4810009,CITY OF DIXON,C,D3,T1,SOLANO,GW,Neither,,,
CA4810010,SID - GIBSON CANYON,C,D1,T3,SOLANO,SW,Neither,38.3823663,-122.0041316,
CA4810011,SID - ELMIRA,C,D1,TD,SOLANO,GW,Neither,,,
CA4810012,SID - QUAIL CANYON,C,D1,TD,SOLANO,GW,Neither,,,
CA4810013,RURAL NORTH VACAVILLE WATER DISTRICT,C,D1,T2,SOLANO,GW,Neither,,,
CA4810015,TRAVIS AFB WTP - VALLEJO,C,NR,T3,SOLANO,SW,Neither,38.1378317,-122.2423477,
CA4810017,WESTERN RAILWAY MUSEUM,NC,NR,There are no treatment plants,SOLANO,GW,Neither,,,
CA4810018,VACAVILLE SEVENTH DAY ADVENTIST CHURCH,NTNC,D1,There are no treatment plants,SOLANO,GW,Neither,,,
CA4810019,NORTHBAY LOGISTICS CENTER FKA SAVEMART,NTNC,D1,TD,SOLANO,GW,Neither,,,
CA4810020,HINES NURSERIES WINTERS NORTH,NTNC,D1,TD,SOLANO,GW,Neither,,,
CA4810021,CITY OF VALLEJO-LAKES SYSTEM,C,D2,T3,SOLANO,SW,SWP,38.1151181,-122.2340023,
CA4810023,NEIL'S SERVICE CENTER II,NC,NR,TD,SOLANO,GW,Neither,,,
CA4810024,SID - BLUE RIDGE OAKS,C,D1,There are no treatment plants,SOLANO,SWP,SWP,38.31496141,-122.0386348,
CA4810025,SID - PLEASANT HILLS RANCH,C,D1,T2,SOLANO,SW,Neither,,,
CA4810026,SID - PEABODY,C,D1,There are no treatment plants,SOLANO,SWP,SWP,38.29751074,-121.9780417,
CA4810030,HARRIS MORAN SEED COMPANY,NTNC,D1,TD,SOLANO,GW,Neither,,,
CA4810033,HINES NURSERY WINTERS SOUTH,NTNC,D1,T2,SOLANO,GW,Neither,,,
CA4810034,GILL SIDHU CHEVRON,NC,NR,T1,SOLANO,GW,Neither,,,
CA4810035,RUSH RANCH OPEN SPACE,NC,NR,T1,SOLANO,GW,Neither,,,
CA4810036,CONNECTION POINT CHURCH,NC,D1,There are no treatment plants,SOLANO,GW,Neither,,,
CA4810038,CAYMUS CORDELIA WINERY,NTNC,D1,TD,SOLANO,GW,Neither,,,
CA4810040,EASTERLY WWTP - VACAVILLE,NTNC,D1,There are no treatment plants,SOLANO,GW,Neither,,,
CA4810042,BLUE VICTORIAN WINERY,NC,NR,TD,SOLANO,GW,Neither,,,
CA4810043,GOTHAM GREENS,NTNC,D1,T2,SOLANO,GW,Neither,,,
CA4810045,MIDWAY STARS 76 GAS STATION & FOOD MART,NC,D1,There are no treatment plants,SOLANO,GW,Neither,,,
CA4810701,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,C,D2,T1,SOLANO,SWP,SWP,38.26729898,-121.9420936,
CA4810800,CALIFORNIA STATE PRISON - SOLANO,C,D2,T3,SOLANO,SW,SWP,38.32108935,-121.9752046,
CA4810801,DELTA CONSERVATION CAMP,C,D1,TD,SOLANO,GW,Neither,,,
CA4890001,FAIRFIELD-SUISUN SEWER DISTRICT,NP,,There are no treatment plants,SOLANO,,,,,
CA4890003,CITY OF BENICIA,NP,,There are no treatment plants,SOLANO,,,,,
CA4890004,CITY OF RIO VISTA - RECLAIMATION,NP,,There are no treatment plants,SOLANO,,,,,
CA4890005,CITY OF VACAVILLE - RECLAIMATION,NP,,There are no treatment plants,SOLANO,,,,,
,,,,,,,,,,
CA3810008,THOMAS SHAFT WHOLESALE,C,D1,T2,SAN JOAQUIN,SWP,SWP,n/a,n/a,
CA3900504,CLEMENTS WATER WORKS #43,C,D1,T1,SAN JOAQUIN,GW,Neither,,,
CA3900505,FARMINGTON WATER COMPANY,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900511,SJC MICKE GROVE PARK,NTNC,D1,T1,SAN JOAQUIN,GW,Neither,,,
CA3900512,MORADA ACRES WATER SYSTEM,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900517,ALMOND PARK WATER SYSTEM,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900523,MORADA MANOR WATER SYSTEM,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900543,MAURLAND MANOR WATER SYSTEM,C,D1,There are no treatment plants,SAN JOAQUIN,GWP,Neither,,,
CA3900558,RANCHO SAN JOAQUIN WATER SYS,C,D1,T2,SAN JOAQUIN,GW,Neither,,,
CA3900559,WINE COUNTRY APARTMENTS,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900561,LODI LAKE MOBILE HOME PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900563,GAYLA MANOR PWS,C,D1,T2,SAN JOAQUIN,GW,Neither,,,
CA3900568,CARIBOU MOBILE PARK PWS,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900569,EL RIO MOBILE HOME PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900578,ST FRANCIS MOTEL,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900579,CENTURY MOBILE HOME PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900581,HARNEY LANE MIGRANT CENTER WS,NTNC,D1,T2,SAN JOAQUIN,GW,Neither,,,
CA3900583,TIKI LAGOON RESORT & MARINA,NC,NR,T1,SAN JOAQUIN,GW,Neither,,,
CA3900585,RODEWAY INN,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900586,B&G MOBILE HOME PARK LLC WS,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900592,TOWN & COUNTRY INN,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900596,VILLA CEREZOS,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900598,MARIONS RANCH HOUSE MOTEL,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900602,TAHAMA VILLAGE MOBILE HOME PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900606,A1 WINSTONS MOBILE HOME PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900607,COUNTRY SQUIRE MOBILE ESTATES & WATER SY,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900616,WINDMILL COVE RESORT/MARINA LLC,NC,NR,T1,SAN JOAQUIN,GW,Neither,,,
CA3900624,IL VINETO,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900637,BIG WHEEL MOBILE HOME PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900648,TURTLE BEACH & WATER SYSTEM,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900649,GLENWOOD MOBILE HOME PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900653,ISLANDER MARINA,C,D1,T1,SAN JOAQUIN,GW,Neither,,,
CA3900661,MAPACHE TRAILER PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900664,NEW HOPE LANDING GENERAL STORE,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900666,KING ISLAND RESORT PWS,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900682,LOCKEFORD MOBILE HOME PARK WTR SYS,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900701,CURRIER ESTATES WATER CORP,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900702,CORRAL HOLLOW PWS,C,D1,T2,SAN JOAQUIN,GW,Neither,,,
CA3900705,FINNLEES TRAILER PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900709,EL RANCHO MOTEL,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900714,SUNNYSIDE ESTATES WATER SYSTEM,C,D1,There are no treatment plants,SAN JOAQUIN,SWP,Neither,n/a,n/a,
CA3900719,MOKELUMNE MOBILE SENIOR PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900720,SHADED TERRACE PWS,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900722,MORADA ESTATES PWS,C,D1,T2,SAN JOAQUIN,GW,Neither,,,
CA3900724,ELKHORN ESTATES WATER SYSTEM,C,D1,T2,SAN JOAQUIN,GW,Neither,,,
CA3900732,V & P TRAILER COURT WATER SYSTEM,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900733,COUNTRY CLUB VISTA MUTUAL WATER CO,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900742,J M EAGLE (WS),NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900748,ESCALON USD- COLLEGEVILLE SCH,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900751,MARTINEZ APARTMENTS,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900752,STEVENS MOTEL WATER SYSTEM,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900755,SHADY REST TRAILER COURT,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900756,LINDEN USD-GLENWOOD SCHOOL,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900757,LINDEN USD-WATERLOO ELEMENTARY,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900759,TURNER CUT RESORT,NC,NR,T1,SAN JOAQUIN,GW,Neither,,,
CA3900762,RIVERSIDE MOBILE HOME PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900768,PARADISE POINT MARINA,NC,NR,T3,SAN JOAQUIN,GW,Neither,,,
CA3900779,BETHANY TEMPLE WATER SYSTEM,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900796,BTQC-ESCALON,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900797,ESCALON PREMIER BRANDS,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GWP,Neither,,,
CA3900798,FRANZIA WINERY,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900799,OLDE TOWNE,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900805,MOREHEAD PARK,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900813,HAVEN ACRES RIVER CLUB INC,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900814,TWO RIVERS RV PARK,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900815,DELICATO VINEYARDS,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900825,OWENS-BROCKWAY GLASS CONTAINER INC,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900831,ARBOR MOBILE HOME PARK WS,C,D1,T1,SAN JOAQUIN,GW,Neither,,,
CA3900835,WAYSIDE MOTEL APARTMENTS WTR SYS,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900837,LODI HOMES,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900840,SMK CHEVRON,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900842,DOUBLE L MOBILE ESTATES,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900844,COUNTRY MANOR MHP,C,D1,T1,SAN JOAQUIN,GW,Neither,,,
CA3900846,OAK VIEW UNION ELEMENTARY SCH,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900848,LODI USD-TURNER ACADEMY AT TOKAY COLONY,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900849,LODI USD-LIVE OAK SCHOOL,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900850,LODI USD-HOUSTON SCHOOL,NTNC,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900903,FRANKS ONE/STOP FOOD MART WATER SYS,NC,NR,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900907,BEL AIR MOBILE ESTATE,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
CA3900921,CARDOZA VILLA CORP,C,D1,There are no treatment plants,SAN JOAQUIN,GW,Neither,,,
